no,name,typesetting,kunnrei,font,color,created,kana
1,ありがたい！,ありがたい！,arigatai_,,0,5.0.0,ありがたい！
2,アウト！,アウト！,auto_,,0,5.0.0,あうと！
3,金だ〜！,金だ〜！,kaneda-_,,9,5.0.0,かねだー！
4,こちらこそ！,こちらこそ！,kotirakoso_,,9,5.0.0,こちらこそ！
5,おこだよ,おこだよ,okodayo,,0,5.0.0,おこだよ
6,怒った？,怒った？,okotta_,,7,5.0.0,おこった？
7,セーフ！,セーフ！,se-hu_,,6,5.0.0,せーふ！
8,あー,あー,a-,serif,6,5.0.0,あー
9,アゲリシャス,アゲリシャス,agerisyasu,,7,5.0.0,あげりしゃす
10,アグリー,アグリー,aguri-,,3,5.0.0,あぐりー
11,あけおめ,あけおめ,akeome,,0,5.0.0,あけおめ
12,諦,諦,akirame,serif,9,5.0.0,あきらめ
13,安全第一,安全第一,annzenndaiiti,,3,5.0.0,あんぜんだいいち
14,アオハル,アオハル,aoharu,,6,5.0.0,あおはる
15,ありがち,ありがち,arigati,,6,5.0.0,ありがち
16,あります,あります,arimasu,,2,5.0.0,あります
17,あるある,あるある,aruaru,,10,5.0.0,あるある
18,バグレポ,バグレポ,bagurepo,,9,5.0.0,ばぐれぽ
19,バイブス,バイブス,baibusu,,11,5.0.0,ばいぶす
20,バルス,バルス,barusu,,2,5.0.0,ばるす
21,便利,便利,bennri,serif,0,5.0.0,べんり
22,ボタンポチー,ボタンポチー,botannpoti-,,3,5.0.0,ぼたんぽちー
23,無事死亡,無事死亡,buzisibou,,6,5.0.0,ぶじしぼう
24,CSSISAWESOME,CSS IS AWESOME,cssisawesome,latin,7,5.0.0,CSS IS AWESOME
25,ダブスタ,ダブスタ,dabusuta,,9,5.0.0,だぶすた
26,だれとく,だれとく,daretoku,,3,5.0.0,だれとく
27,だれうま,だれうま,dareuma,,4,5.0.0,だれうま
28,ですです,ですです,desudesu,,2,5.0.0,ですです
29,ですよね,ですよね,desuyone,,4,5.0.0,ですよね
30,どうして,どうして,dousite,,9,5.0.0,どうして
31,どうやってやってるの,どうやってやってるの,douyatteyatteruno,,8,5.0.0,どうやってやってるの
32,どうぞどうぞ,どうぞどうぞ,douzodouzo,,1,5.0.0,どうぞどうぞ
33,えー,えー,e-,serif,0,5.0.0,えー
34,ええやん,ええやん,eeyann,,0,5.0.0,ええやん
35,エモい,エモい,emoi,,5,5.0.0,えもい
36,偉い,偉い,erai,serif,4,5.0.0,えらい
37,元気笑顔,元気笑顔,gennkiegao,,9,5.0.0,げんきえがお
38,限定公開,限定公開,gennteikoukai,,10,5.0.0,げんていこうかい
39,銀の弾丸,銀の弾丸,ginnnodanngann,,9,5.0.0,ぎんのだんがん
40,ギルティ,ギルティ,giruthi,,0,5.0.0,ぎるてぃ
41,五月病,五月病,gogatubyou,,4,5.0.0,ごがつびょう
42,ごめんなさい,ごめんなさい,gomennnasai,,0,5.0.0,ごめんなさい
43,偶然だぞ,偶然だぞ,guuzenndazo,,8,5.0.0,ぐうぜんだぞ
44,はい,はい,hai-,serif,6,5.0.0,はいー
45,はらへり,はらへり,haraheri,,0,5.0.0,はらへり
46,へー,へー,he-,serif,9,5.0.0,へー
47,人はなぜ,人はなぜ,hitohanaze,,0,5.0.0,ひとはなぜ
48,必要,必要,hituyou,serif,5,5.0.0,ひつよう
49,ほぼほぼ,ほぼほぼ,hobohobo,,6,5.0.0,ほぼほぼ
50,本人,本人,honnninn,serif,7,5.0.0,ほんにん
51,ほんとだ,ほんとだ,honntoda,,11,5.0.0,ほんとだ
52,欲しい,欲しい,hosii,,5,5.0.0,ほしい
53,ホウレンソウ,ホウレンソウ,hourennsou,,7,5.0.0,ほうれんそう
54,不要,不要,huyou,serif,10,5.0.0,ふよう
55,異議あり,異議あり,igiari,,4,5.0.0,いぎあり
56,異議なし,異議なし,iginasi,,5,5.0.0,いぎなし
57,いいえ,いいえ,iie,serif,0,5.0.0,いいえ
58,いい感じ,いい感じ,iikannzi,,6,5.0.0,いいかんじ
